Name,Lat,Long,Country,Pop,,
ATUCHA,-33.968002,-59.20374,ARGENTINA,"161,784",,
EMBALSE,-32.232154,-64.443385,ARGENTINA,"36,322",,
METSAMOR,40.183594,44.153421,ARMENIA,"647,078",,
DOEL,51.325278,4.259356,BELGIUM,"1,485,736",,
MOL,51.22342,5.099126,BELGIUM,"941,958",,
TIHANGE,50.533374,5.273377,BELGIUM,"863,179",,
ANGRA,-23.007857,-44.458098,BRAZIL,"175,960",,
BELENE,43.62944,25.189345,BULGARIA,"148,180",,
KOZLODUY,43.742627,23.775239,BULGARIA,"123,907",,
BRUCE,44.326136,-81.594719,CANADA,"29,617",,
DARLINGTON,43.869268,-78.722457,CANADA,"496,605",,
DOUGLAS POINT,44.326667,-81.6,CANADA,"29,617",,
GENTILLY,46.39461,-72.356225,CANADA,"181,513",,
PICKERING,43.810436,-79.065926,CANADA,"1,887,360",,
POINT LEPREAU,45.068694,-66.454582,CANADA,"7,795",,
ROLPHTON NPD,46.186667,-77.657778,CANADA,"7,284",,
CEFR,39.740929,116.030139,CHINA,"4,675,788",,
CHANG JIANG,19.423056,108.8125,CHINA,"273,426",,
CHAPELCROSS,55.01566,-3.22605,CHINA,"273,426",,
FANGCHENGGANG,21.615298,108.347253,CHINA,"415,136",,
FUQING,25.448056,119.450556,CHINA,"1,093,411",,
GUANGDONG,22.597144,114.543139,CHINA,"1,211,903",,
HAIYANG,36.708333,121.383333,CHINA,"578,435",,
HONGYANHE,39.801944,121.475,CHINA,"218,182",,
LINGAO,22.60611,114.553247,CHINA,"1,211,903",,
NINGDE,27.045,120.283333,CHINA,"478,548",,
QINSHAN,30.435681,120.947735,CHINA,"1,311,060",,
SANMEN,29.101111,121.641944,CHINA,"616,911",,
TAISHAN,21.917778,112.981944,CHINA,"316,423",,
TIANWAN,34.687468,119.459851,CHINA,"957,243",,
YANGJIANG,21.708333,112.261111,CHINA,"283,224",,
DUKOVANY,49.086876,16.13826,CZECH REPUBLIC,"293,718",,
TEMELIN,49.176113,14.3819,CZECH REPUBLIC,"272,721",,
LOVIISA,60.370582,26.346856,FINLAND,"28,958",,
OLKILUOTO,61.236345,21.443385,FINLAND,"59,398",,
BELLEVILLE,47.5075,2.8775,FRANCE,"94,309",,
BLAYAIS,45.255907,-0.691883,FRANCE,"146,710",,
BRENNILIS,48.3533,-3.872203,FRANCE,"162,469",,
BUGEY,45.7956,5.27,FRANCE,"749,673",,
CATTENOM,49.4136,6.21639,FRANCE,"813,307",,
CHINON,47.230649,0.169521,FRANCE,"170,541",,
CHOOZ,50.09,4.78944,FRANCE,"199,132",,
CIVAUX,46.456031,0.654284,FRANCE,"202,234",,
CREYSMALVILLE,45.758333,5.472222,FRANCE,"86,896",,
CRUAS,44.6314,4.75556,FRANCE,"257,627",,
DAMPIERRE,47.7339,2.51611,FRANCE,"86,570",,
FESSENHEIM,47.9064,7.56528,FRANCE,"969,895",,
FLAMANVILLE,49.5358,-1.88139,FRANCE,"151,645",,
GOLFECH,44.10618,0.844447,FRANCE,"191,841",,
GRAVELINES,51.0161,2.14417,FRANCE,"430,393",,
MARCOULE,44.143333,4.709444,FRANCE,"500,352",,
NOGENT,48.5172,3.52,FRANCE,"125,073",,
PALUEL,49.8581,0.63306,FRANCE,"142,003",,
